ID;aemet_equipo_loc;aemet_lej;aemet_fecha;aemet_lugar;aemet_provincia;aemet_aemet_tmax;aemet_tmin;aemet_sol;aemet_presMax;aemet_presMin;aemet_prec;aemet_racha;aemet_dir;aemet_velmedia;aemet_aemet_tmax_vis;aemet_tmin_vis;aemet_sol_vis;aemet_presMax_vis;aemet_presMin_vis;aemet_prec_vis;aemet_racha_vis;aemet_dir_vis;aemet_velmedia_vis;
g_1_ENzgmizG;Celta de Vigo;0;2017-09-29;VIGO AEROPUERTO;PONTEVEDRA;21.3;14.1;NaN;993.7;991.5;0.5;9.7;28;1.9;26.5;13.8;9.5;1007.9;1004.7;0.1;8.9;99;2.8;
g_1_Mmv1oV4S;Leganes;1;2017-09-30;MADRID, RETIRO;MADRID;27.4;17.0;NaN;944.1;940.6;0.0;8.9;04;1.1;27.4;17.0;NaN;944.1;940.6;0.0;8.9;04;1.1;
g_1_2RX5R9Dd;Levante;0;2017-09-30;VALENCIA AEROPUERTO;VALENCIA;26.0;15.2;4.2;1014.0;1010.0;0.0;9.2;06;2.8;17.5;10.5;0.0;964.7;961.9;0.9;8.3;02;1.4;
g_1_SUGTtkDq;Sevilla;0;2017-09-30;SEVILLA AEROPUERTO;SEVILLA;33.5;17.8;10.8;1017.3;1012.0;0.0;7.2;23;1.7;27.0;18.3;NaN;1015.9;1012.0;0.0;6.9;14;2.5;
g_1_fLKikD53;Deportivo de La Coruna;0;2017-09-30;A CORUÑA;A CORUÑA;20.8;14.3;4.6;1017.1;1015.3;1.0;6.9;28;1.7;27.4;17.0;NaN;944.1;940.6;0.0;8.9;04;1.1;
g_1_GULmjgjc;Real Madrid;0;2017-10-01;MADRID, RETIRO;MADRID;26.0;17.4;NaN;946.4;942.6;0.0;6.7;05;0.8;21.6;18.4;0.0;1022.1;1018.9;0.7;11.7;04;2.8;
g_1_6LFXu9Sk;Valencia;0;2017-10-01;VALENCIA AEROPUERTO;VALENCIA;26.4;18.0;2.6;1015.3;1012.1;0.0;6.7;05;1.9;19.8;13.9;0.0;1020.9;1017.9;3.3;4.2;99;1.1;
g_1_zXyklXK9;Villarreal;0;2017-10-01;CASTELLÓN - ALMASSORA;CASTELLON;26.1;19.0;3.5;1017.4;1014.1;0.0;5.0;11;1.4;19.8;13.9;0.0;1020.9;1017.9;3.3;4.2;99;1.1;
g_1_8pzcnBkM;Barcelona;0;2017-10-01;BARCELONA AEROPUERTO;BARCELONA;21.6;18.4;0.0;1022.1;1018.9;0.7;11.7;04;2.8;27.3;22.1;NaN;1013.2;1010.3;0.0;17.5;99;8.3;
g_1_lOT1Skbj;Real Sociedad;0;2017-10-01;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;17.8;13.2;0.0;994.4;992.2;17.5;10.8;35;3.9;35.1;18.1;10.1;1016.0;1012.6;0.0;9.2;99;0.6;
