ID;aemet_equipo_loc;aemet_lej;aemet_fecha;aemet_lugar;aemet_provincia;aemet_tmax;aemet_tmin;aemet_sol;aemet_presMax;aemet_presMin;aemet_prec;aemet_racha;aemet_dir;aemet_velmedia;aemet_tmax_vis;aemet_tmin_vis;aemet_sol_vis;aemet_presMax_vis;aemet_presMin_vis;aemet_prec_vis;aemet_racha_vis;aemet_dir_vis;aemet_velmedia_vis;
g_1_G6VBVZgA;Real Madrid;0;2015-09-19;MADRID, RETIRO;MADRID;25.4;13.2;NaN;947.7;944.2;0.0;6.1;04;0.8;30.0;12.5;11.7;956.9;953.5;0.0;7.8;99;2.2;
g_1_xGW7WFv4;Barcelona;0;2015-09-20;BARCELONA AEROPUERTO;BARCELONA;24.0;18.4;10.1;1021.8;1018.4;0.0;10.8;99;4.4;30.3;14.9;11.7;1015.8;1010.0;0.0;8.9;99;3.9;
g_1_M5cqDRwq;Las Palmas;0;2015-09-20;GRAN CANARIA AEROPUERTO;LAS PALMAS;26.9;21.5;10.9;1013.3;1009.6;0.0;13.3;02;8.3;28.1;14.5;NaN;946.5;942.9;0.0;6.4;03;1.1;
g_1_AT8pFE9T;Villarreal;0;2015-09-20;CASTELLÓN - ALMASSORA;CASTELLON;27.9;16.8;11.6;1017.7;1013.2;0.0;6.9;12;2.5;25.0;10.5;11.4;1021.9;1016.2;0.0;9.7;06;1.1;
g_1_UDkH9hXj;Deportivo de La Coruna;0;2015-09-20;A CORUÑA;A CORUÑA;21.6;12.7;11.4;1016.3;1013.4;0.0;6.4;25;2.2;20.8;13.4;10.2;1023.9;1019.1;0.0;NaN;NaN;NaN;
g_1_ptzGUg9G;Sevilla;0;2015-09-20;SEVILLA AEROPUERTO;SEVILLA;32.9;17.6;11.2;1017.8;1014.0;0.0;8.3;99;0.8;27.8;13.1;10.5;992.7;990.4;NA;8.9;26;2.2;
g_1_CfjdAPN1;Granada;0;2015-09-22;GRANADA AEROPUERTO;GRANADA;31.3;13.5;11.7;952.4;948.6;0.0;12.5;28;4.2;17.4;12.5;2.8;987.1;985.9;28.8;18.1;30;7.5;
g_1_QJusGFBK;Atl. Madrid;0;2015-09-22;MADRID, RETIRO;MADRID;28.4;13.7;NaN;939.3;936.1;0.0;10.0;31;1.7;28.4;13.7;NaN;939.3;936.1;0.0;10.0;31;1.7;
g_1_vNqoFZQQ;Espanyol;0;2015-09-22;BARCELONA AEROPUERTO;BARCELONA;25.3;17.2;9.3;1013.5;1010.0;0.0;13.9;05;5.3;28.7;15.2;11.5;1006.7;1002.3;NA;10.3;13;3.3;
g_1_jok09qw8;Las Palmas;0;2015-09-23;GRAN CANARIA AEROPUERTO;LAS PALMAS;29.4;22.9;10.8;1011.9;1008.9;0.0;7.8;16;2.8;31.7;14.3;11.6;1012.6;1009.4;0.0;9.7;22;3.6;
g_1_h6sZHys8;Malaga;0;2015-09-23;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;35.6;20.9;NaN;1010.6;1005.2;0.0;10.8;09;3.3;29.0;18.6;9.2;1012.6;1006.8;0.0;8.9;19;2.5;
g_1_IXjhB58e;Athletic Club;1;2015-09-23;BILBAO AEROPUERTO;BIZKAIA;17.6;14.3;0.0;1017.7;1012.5;3.2;9.7;29;0.6;24.1;15.0;NaN;941.8;937.6;0.0;10.3;04;3.1;
g_1_OfLH9Dll;Celta de Vigo;0;2015-09-23;VIGO AEROPUERTO;PONTEVEDRA;24.0;11.6;9.3;990.5;988.4;0.0;7.2;99;2.8;22.2;18.4;6.7;1016.6;1010.4;1.0;11.7;20;4.7;
g_1_p4MDAgZs;Levante;0;2015-09-23;VALENCIA AEROPUERTO;VALENCIA;29.7;16.7;8.5;1010.4;1004.9;0.0;8.9;99;3.1;17.6;14.3;0.0;1017.7;1012.5;3.2;9.7;29;0.6;
g_1_hUPL8X3f;Rayo Vallecano;0;2015-09-23;MADRID, RETIRO;MADRID;24.1;15.0;NaN;941.8;937.6;0.0;10.3;04;3.1;20.2;16.0;3.1;1020.5;1017.9;0.0;NaN;NaN;NaN;
g_1_WdtwHedE;Real Betis;0;2015-09-24;SEVILLA AEROPUERTO;SEVILLA;29.9;16.2;10.9;1015.3;1012.0;0.0;8.3;99;3.1;20.9;12.4;10.9;1013.9;1011.5;0.0;6.1;33;2.2;
g_1_4OJJTYuK;Valencia;0;2015-09-25;VALENCIA AEROPUERTO;VALENCIA;28.1;13.4;11.3;1011.3;1008.3;0.0;8.3;13;2.8;30.2;10.5;9.0;954.2;950.2;0.0;9.2;27;1.7;
g_1_MaEOSheQ;Eibar;1;2015-09-26;BILBAO AEROPUERTO;BIZKAIA;23.6;13.3;4.5;1017.2;1014.4;0.4;7.8;99;2.2;26.0;13.6;9.5;988.9;987.3;NA;7.2;26;0.6;
g_1_IVafNWIm;Sevilla;0;2015-09-26;SEVILLA AEROPUERTO;SEVILLA;32.0;16.6;10.7;1013.7;1010.5;0.0;7.2;22;1.7;28.0;16.6;NaN;942.0;940.0;0.0;11.1;28;0.8;
g_1_EqEU6BY6;Villarreal;0;2015-09-26;CASTELLÓN - ALMASSORA;CASTELLON;26.4;16.9;7.8;1013.1;1011.3;0.0;7.2;12;2.8;28.0;16.6;NaN;942.0;940.0;0.0;11.1;28;0.8;
g_1_WY3bMjYg;Real Madrid;0;2015-09-26;MADRID, RETIRO;MADRID;28.0;16.6;NaN;942.0;940.0;0.0;11.1;28;0.8;25.3;16.3;NaN;1011.7;1009.9;0.0;6.1;13;2.5;
g_1_WKOP7iJ0;Barcelona;0;2015-09-26;BARCELONA AEROPUERTO;BARCELONA;24.1;17.6;5.8;1018.7;1016.5;0.0;8.9;35;3.1;27.0;23.1;2.5;1012.5;1010.1;0.0;11.4;99;6.7;
g_1_O80jOC3s;Real Sociedad;0;2015-09-27;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;18.2;13.0;7.4;993.7;990.2;0.0;6.4;33;2.8;22.1;10.9;7.6;1020.3;1016.9;0.0;7.2;99;1.9;
g_1_Ecg3LAm0;Getafe;1;2015-09-27;MADRID, RETIRO;MADRID;26.5;16.0;NaN;943.7;940.7;0.0;8.3;04;0.3;23.0;15.9;0.6;1014.6;1010.6;7.2;13.9;05;1.9;
g_1_QXKFUEQD;Deportivo de La Coruna;0;2015-09-27;A CORUÑA;A CORUÑA;23.8;14.7;11.2;1013.8;1011.7;0.0;7.8;06;2.2;23.0;17.7;0.8;1022.0;1018.0;NA;7.8;36;2.8;
g_1_CUWX5VmD;Sporting de Gijon;0;2015-09-27;GIJÓN, PUERTO;ASTURIAS;21.4;16.8;8.9;1022.5;1019.5;0.0;NaN;NaN;NaN;34.3;16.3;11.4;1014.2;1010.8;0.0;6.7;33;1.7;
g_1_tYCpYmX5;Celta de Vigo;0;2015-10-02;VIGO AEROPUERTO;PONTEVEDRA;21.5;9.6;9.0;992.1;986.3;0.0;9.7;24;2.2;25.5;14.0;NaN;943.2;936.5;0.0;9.7;25;1.9;
g_1_hlh7KU26;Malaga;0;2015-10-03;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;26.0;19.8;NaN;1012.2;1009.3;0.0;6.1;99;1.7;16.5;9.0;9.7;986.7;985.3;0.0;6.1;30;2.5;
g_1_ChLTyWXt;Las Palmas;0;2015-10-03;GRAN CANARIA AEROPUERTO;LAS PALMAS;28.4;23.6;9.0;1013.2;1010.3;0.0;6.1;17;1.9;20.1;7.3;9.0;1012.9;1011.4;NA;6.7;36;1.1;
g_1_nBDtZTHa;Espanyol;0;2015-10-03;BARCELONA AEROPUERTO;BARCELONA;23.8;16.2;0.5;1018.0;1013.8;NA;14.4;27;3.9;18.5;10.5;7.0;1016.5;1013.2;1.7;NaN;NaN;NaN;
g_1_0EiBJlIC;Granada;0;2015-10-03;GRANADA AEROPUERTO;GRANADA;27.3;15.3;2.0;954.3;950.6;0.0;9.2;27;2.8;17.1;9.2;4.6;1009.6;1004.6;4.8;5.3;16;0.8;
g_1_8KExzA2g;Sevilla;0;2015-10-03;SEVILLA AEROPUERTO;SEVILLA;27.4;20.1;6.0;1015.0;1011.0;0.0;10.8;22;4.4;23.8;16.2;0.5;1018.0;1013.8;NA;14.4;27;3.9;
g_1_tAUcshAJ;Atl. Madrid;0;2015-10-04;MADRID, RETIRO;MADRID;22.0;15.5;NaN;942.8;940.2;4.2;9.2;22;2.2;22.0;15.5;NaN;942.8;940.2;4.2;9.2;22;2.2;
g_1_fDY1tCPP;Levante;0;2015-10-04;VALENCIA AEROPUERTO;VALENCIA;27.4;15.3;6.6;1012.6;1009.9;0.0;10.3;10;1.9;24.5;16.3;5.9;1014.5;1012.0;0.0;5.0;10;1.7;
g_1_v5jFI8XI;Athletic Club;1;2015-10-04;BILBAO AEROPUERTO;BIZKAIA;27.4;10.1;0.1;1012.0;1003.3;0.9;18.9;21;3.9;27.4;15.3;6.6;1012.6;1009.9;0.0;10.3;10;1.9;
g_1_jqKXzjmm;Rayo Vallecano;0;2015-10-04;MADRID, RETIRO;MADRID;22.0;15.5;NaN;942.8;940.2;4.2;9.2;22;2.2;30.0;17.6;5.0;1017.9;1014.4;2.6;8.3;21;2.8;
g_1_nBZBl9Hn;Real Betis;0;2015-10-17;SEVILLA AEROPUERTO;SEVILLA;22.4;17.0;1.3;1008.7;1004.2;37.7;13.3;99;4.2;19.3;11.2;2.2;1017.3;1014.3;0.0;8.9;36;2.8;
g_1_zX5gWR1I;Valencia;0;2015-10-17;VALENCIA AEROPUERTO;VALENCIA;22.5;16.6;3.0;1008.9;1006.2;NA;8.3;06;3.1;27.4;18.8;NaN;1008.3;1005.8;4.5;8.6;18;1.7;
g_1_2wbufVgP;Barcelona;0;2015-10-17;BARCELONA AEROPUERTO;BARCELONA;19.3;11.2;2.2;1017.3;1014.3;0.0;8.9;36;2.8;22.6;12.7;NaN;937.3;934.9;8.4;5.6;03;1.1;
g_1_EN4cVoHO;Eibar;1;2015-10-17;BILBAO AEROPUERTO;BIZKAIA;23.7;5.8;3.3;1011.6;1004.4;0.2;12.5;18;2.5;22.4;17.0;1.3;1008.7;1004.2;37.7;13.3;99;4.2;
g_1_0EwGmTWh;Real Madrid;0;2015-10-17;MADRID, RETIRO;MADRID;22.6;12.7;NaN;937.3;934.9;8.4;5.6;03;1.1;22.5;16.6;3.0;1008.9;1006.2;NA;8.3;06;3.1;
g_1_0l8KpRGB;Deportivo de La Coruna;0;2015-10-18;A CORUÑA;A CORUÑA;19.5;15.3;0.7;1003.8;1001.3;8.6;6.4;07;1.7;23.3;14.8;0.1;1007.7;1004.9;0.2;10.3;17;1.1;
g_1_h8GlX7nC;Getafe;1;2015-10-18;MADRID, RETIRO;MADRID;18.3;13.6;NaN;937.5;934.0;20.9;6.4;08;0.8;30.0;20.8;9.6;1009.1;1005.9;0.0;14.4;26;2.2;
g_1_fywKnmna;Real Sociedad;0;2015-10-18;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;22.0;14.0;2.2;981.8;979.5;0.0;14.4;19;3.9;18.3;13.6;NaN;937.5;934.0;20.9;6.4;08;0.8;
g_1_YRyOo715;Villarreal;0;2015-10-18;CASTELLÓN - ALMASSORA;CASTELLON;23.1;15.8;4.1;1009.6;1006.2;NA;5.6;10;1.9;18.8;13.2;0.1;980.0;977.7;0.6;8.3;07;2.2;
g_1_4np7kk2t;Sporting de Gijon;0;2015-10-19;GIJÓN, PUERTO;ASTURIAS;17.0;15.2;0.0;1018.5;1009.4;20.8;NaN;NaN;NaN;23.5;11.8;3.4;945.8;943.5;4.9;7.2;99;0.6;
g_1_QZBrkt8c;Rayo Vallecano;0;2015-10-23;MADRID, RETIRO;MADRID;18.4;9.3;NaN;944.5;942.0;0.0;6.9;04;1.1;20.5;13.2;6.4;1020.9;1018.6;0.0;9.2;35;4.2;
g_1_ML73pIMS;Malaga;0;2015-10-24;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;22.0;17.1;NaN;1014.4;1011.2;0.2;3.9;14;1.4;17.9;14.2;0.5;1017.2;1007.4;2.4;8.6;02;3.6;
g_1_YaFjmKxA;Sevilla;0;2015-10-24;SEVILLA AEROPUERTO;SEVILLA;23.7;15.9;4.5;1015.7;1012.4;0.0;4.7;99;0.8;20.1;11.6;NaN;943.4;941.2;0.0;4.7;03;0.6;
g_1_WzViSI0p;Granada;0;2015-10-24;GRANADA AEROPUERTO;GRANADA;20.4;11.7;0.1;954.6;951.0;0.0;5.0;99;0.6;23.7;15.9;4.5;1015.7;1012.4;0.0;4.7;99;0.8;
g_1_f9Gnl0N3;Celta de Vigo;0;2015-10-24;VIGO AEROPUERTO;PONTEVEDRA;20.5;13.7;1.2;991.9;986.1;NA;6.7;16;1.9;20.1;11.6;NaN;943.4;941.2;0.0;4.7;03;0.6;
g_1_pvZeRxGj;Atl. Madrid;0;2015-10-25;MADRID, RETIRO;MADRID;20.4;13.4;NaN;944.1;940.6;0.0;6.7;15;1.7;20.1;14.6;0.0;1014.8;1011.1;1.1;8.9;03;3.1;
g_1_vu7OqoWH;Barcelona;0;2015-10-25;BARCELONA AEROPUERTO;BARCELONA;20.3;14.5;1.2;1022.3;1018.7;2.5;8.9;34;3.9;21.4;13.5;1.3;1020.1;1009.7;0.1;7.2;09;0.8;
g_1_GO4envhG;Las Palmas;0;2015-10-25;GRAN CANARIA AEROPUERTO;LAS PALMAS;25.5;20.7;5.6;1013.4;1009.9;7.5;9.7;99;5.3;19.9;15.8;0.0;1017.0;1013.2;0.4;5.3;10;1.4;
g_1_nqDvjMhi;Levante;0;2015-10-25;VALENCIA AEROPUERTO;VALENCIA;20.1;14.6;0.0;1014.8;1011.1;1.1;8.9;03;3.1;18.3;14.0;5.6;993.1;984.0;0.0;13.3;16;2.2;
g_1_Sb8aob7M;Athletic Club;1;2015-10-26;BILBAO AEROPUERTO;BIZKAIA;24.1;15.5;3.8;1009.7;1002.6;0.2;12.5;16;3.9;18.6;14.0;1.8;1006.5;1003.9;14.4;NaN;NaN;NaN;
g_1_YayM2axc;Deportivo de La Coruna;0;2015-10-30;A CORUÑA;A CORUÑA;22.4;17.6;3.6;1004.5;1002.5;0.0;17.2;14;4.4;20.3;10.9;NaN;NaN;NaN;0.0;5.8;11;1.4;
g_1_URUU0w79;Real Sociedad;0;2015-10-31;DONOSTIA/SAN SEBASTIÁN, IGUELDO;GIPUZKOA;21.2;17.2;9.1;990.9;982.1;0.0;22.2;17;10.0;17.9;12.0;0.6;991.3;977.4;0.6;17.5;17;5.0;
g_1_8ITYacMF;Getafe;1;2015-10-31;MADRID, RETIRO;MADRID;19.7;12.0;NaN;945.8;940.4;0.0;6.9;13;1.7;20.4;13.2;5.7;1024.8;1020.6;0.0;11.4;99;4.4;
g_1_fZRtbyiS;Valencia;0;2015-10-31;VALENCIA AEROPUERTO;VALENCIA;21.0;13.7;1.3;1016.9;1012.2;0.3;9.7;09;2.2;21.0;13.7;1.3;1016.9;1012.2;0.3;9.7;09;2.2;
g_1_OUgVuxVq;Villarreal;0;2015-10-31;CASTELLÓN - ALMASSORA;CASTELLON;17.9;14.9;0.4;1019.6;1014.4;1.4;4.7;01;1.1;23.3;14.4;3.5;1015.9;1012.2;0.0;9.7;99;1.1;
g_1_GrTxaHyM;Real Madrid;0;2015-10-31;MADRID, RETIRO;MADRID;19.7;12.0;NaN;945.8;940.4;0.0;6.9;13;1.7;21.7;17.6;2.2;1015.1;1012.2;20.1;16.4;35;6.4;
g_1_t6lzudpj;Real Betis;0;2015-11-01;SEVILLA AEROPUERTO;SEVILLA;24.7;15.2;4.7;1015.1;1005.1;22.8;15.0;21;5.0;22.5;12.4;9.4;1019.2;1014.2;0.0;17.5;15;5.0;
g_1_0G49geaq;Sporting de Gijon;0;2015-11-01;GIJÓN, PUERTO;ASTURIAS;19.8;12.6;8.0;1021.2;1014.0;0.0;NaN;NaN;NaN;22.9;15.3;NaN;1013.8;1004.0;19.6;13.3;13;3.1;
g_1_n3uQ1Ji3;Espanyol;0;2015-11-01;BARCELONA AEROPUERTO;BARCELONA;20.2;14.1;2.9;1026.4;1023.8;1.8;16.4;08;8.6;24.4;8.8;8.1;953.8;944.6;23.4;15.3;26;2.2;
g_1_KdmvvGad;Eibar;1;2015-11-01;BILBAO AEROPUERTO;BIZKAIA;22.5;12.4;9.4;1019.2;1014.2;0.0;17.5;15;5.0;19.0;14.1;NaN;945.8;939.2;17.5;11.7;11;2.8;
g_1_vLrn7ETr;Las Palmas;0;2015-11-06;GRAN CANARIA AEROPUERTO;LAS PALMAS;25.9;20.4;7.5;1017.2;1014.6;0.0;11.7;03;6.9;23.4;16.4;8.6;994.7;991.9;0.0;11.1;17;3.1;
g_1_8fmj6Yrk;Malaga;0;2015-11-07;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;22.9;14.2;NaN;1021.9;1019.7;0.0;7.8;14;1.9;27.1;14.7;10.2;1021.2;1018.5;0.0;10.8;08;4.7;
g_1_fm7FCz6L;Eibar;1;2015-11-07;BILBAO AEROPUERTO;BIZKAIA;25.5;13.8;8.5;1023.0;1017.7;0.0;9.7;16;1.9;21.4;11.5;NaN;951.1;949.3;0.0;3.9;04;0.8;
g_1_2uk8Edy9;Rayo Vallecano;0;2015-11-07;MADRID, RETIRO;MADRID;21.4;11.5;NaN;951.1;949.3;0.0;3.9;04;0.8;25.5;8.7;9.9;961.1;958.2;0.0;7.8;15;1.4;
g_1_Olj4FxM2;Levante;0;2015-11-07;VALENCIA AEROPUERTO;VALENCIA;24.0;11.3;9.9;1022.1;1019.1;1.1;5.8;99;1.1;23.4;16.6;5.7;1018.2;1014.4;0.0;7.8;16;1.9;
g_1_nX6Ljgq2;Celta de Vigo;0;2015-11-07;VIGO AEROPUERTO;PONTEVEDRA;23.8;15.5;5.9;996.3;992.3;NA;4.7;99;1.1;24.0;11.3;9.9;1022.1;1019.1;1.1;5.8;99;1.1;
g_1_EJ8DhFEk;Sevilla;0;2015-11-08;SEVILLA AEROPUERTO;SEVILLA;27.1;13.7;10.2;1024.8;1019.3;0.0;9.7;99;4.7;20.8;12.6;NaN;953.7;950.3;0.0;6.1;16;1.7;
g_1_xCdKBfLR;Atl. Madrid;0;2015-11-08;MADRID, RETIRO;MADRID;20.8;12.6;NaN;953.7;950.3;0.0;6.1;16;1.7;22.4;14.6;9.1;1029.0;1019.2;0.0;NaN;NaN;NaN;
g_1_d2lCDGjF;Barcelona;0;2015-11-08;BARCELONA AEROPUERTO;BARCELONA;20.1;14.0;2.0;1030.9;1028.8;0.0;9.2;34;3.6;21.9;13.6;8.6;1026.3;1023.7;0.0;5.8;17;1.4;
